time_step,topic,uid,real_comments,profile_text,batch_mf,pre_pos,pre_neu,pre_neg,dist_t0_pos,dist_t0_neu,dist_t0_neg,dist_t1_pos,dist_t1_neu,dist_t1_neg,dist_t2_pos,dist_t2_neu,dist_t2_neg,dist_t3_pos,dist_t3_neu,dist_t3_neg,dist_t4_pos,dist_t4_neu,dist_t4_neg,dist_t5_pos,dist_t5_neu,dist_t5_neg,dist_t6_pos,dist_t6_neu,dist_t6_neg,dist_t7_pos,dist_t7_neu,dist_t7_neg,dist_t8_pos,dist_t8_neu,dist_t8_neg,dist_t9_pos,dist_t9_neu,dist_t9_neg,dist_t10_pos,dist_t10_neu,dist_t10_neg
0,仲间由纪惠将主演夏季NTV土九日剧[幽灵妈妈搜查线]饰演不能成佛变成幽灵的警察官上原蝶子，为了留在人间自己的儿子和丈夫继续解决追捕犯人的凶恶事件，但是到了100日就要和他们分别.志田未来饰演沢村前妻的女儿，生瀬勝久饰演仲间上司.还有杰尼斯JR的真田佑馬以及塚地武雅出演,2019719255,仲间由纪惠将主演夏季NTV土九日剧[幽灵妈妈搜查线]饰演不能成佛变成幽灵的警察官上原蝶子，为了留在人间自己的儿子和丈夫继续解决追捕犯人的凶恶事件，但是到了100日就要和他们分别.志田未来饰演沢村前妻的女儿，生瀬勝久饰演仲间上司.还有杰尼斯JR的真田佑馬以及塚地武雅出演,关注社会财富分配问题，对现状持有批判态度情绪宣泄，宏大叙事，关注民生，精英视角该用户关注社会财富分配问题，对现状持有批判态度。在表达上，倾向于情绪宣泄和宏大叙事，关注民生问题，并持有精英视角。在社交媒体上，表现为普通参与者，转发内容多与财富分配、社会公平相关。,,0.0,1.0,0.0,0.0,1.0,0.0,0.125,0.75,0.125,0.0,0.9375,0.0625,0.0625,0.875,0.0625,0.0,0.9375,0.0625,0.125,0.8125,0.0625,0.125,0.75,0.125,0.0,0.9375,0.0625,0.0625,0.8125,0.125,0.0,1.0,0.0,0.0,1.0,0.0
0,仲间由纪惠将主演夏季NTV土九日剧[幽灵妈妈搜查线]饰演不能成佛变成幽灵的警察官上原蝶子，为了留在人间自己的儿子和丈夫继续解决追捕犯人的凶恶事件，但是到了100日就要和他们分别.志田未来饰演沢村前妻的女儿，生瀬勝久饰演仲间上司.还有杰尼斯JR的真田佑馬以及塚地武雅出演,1704328010,转发微博,对某些事件表现出批判态度，但对其他内容则较为中立情绪宣泄，关注民生，自我中心，宏大叙事，攻击性强该用户在社交媒体上表现出较高的活跃度，对各种社会现象和个人情感有着强烈的表达欲望。他关注民生，对社会事件持有批判态度，但同时也表现出一定的自我中心倾向。在语言风格上，他倾向于使用情绪化的表达，并喜欢在宏大叙事的背景下讨论问题。尽管对权威和体制持有一定程度的怀疑，但他也愿意参与社会讨论，并在某些问题上表现出积极的参与态度。,,0.0,1.0,0.0,0.0,1.0,0.0,0.125,0.75,0.125,0.0,0.9375,0.0625,0.0625,0.875,0.0625,0.0,0.9375,0.0625,0.125,0.8125,0.0625,0.125,0.75,0.125,0.0,0.9375,0.0625,0.0625,0.8125,0.125,0.0,1.0,0.0,0.0,1.0,0.0
0,仲间由纪惠将主演夏季NTV土九日剧[幽灵妈妈搜查线]饰演不能成佛变成幽灵的警察官上原蝶子，为了留在人间自己的儿子和丈夫继续解决追捕犯人的凶恶事件，但是到了100日就要和他们分别.志田未来饰演沢村前妻的女儿，生瀬勝久饰演仲间上司.还有杰尼斯JR的真田佑馬以及塚地武雅出演,1726290032,啊！她怎么越来越嫩啦！！！@不自然的44君,表现出对日常生活的无奈和自嘲，但无明显政治立场情绪宣泄，悲观抱怨，关注民生，自我中心该用户对日常生活持有一种自嘲和无奈的态度，经常在社交媒体上分享个人的小确幸和不幸。在政治倾向上，没有明显的立场，更倾向于关注个人情感和生活琐事。在语言风格上，表现出情绪化的特点，同时也会关注民生问题，但总体上以自我为中心。在面对不同类型的事件时，可能会表现出悲观和抱怨的情绪，但同时也能够保持乐观，享受生活中的小确幸。,,0.0,1.0,0.0,0.0,1.0,0.0,0.125,0.75,0.125,0.0,0.9375,0.0625,0.0625,0.875,0.0625,0.0,0.9375,0.0625,0.125,0.8125,0.0625,0.125,0.75,0.125,0.0,0.9375,0.0625,0.0625,0.8125,0.125,0.0,1.0,0.0,0.0,1.0,0.0
0,仲间由纪惠将主演夏季NTV土九日剧[幽灵妈妈搜查线]饰演不能成佛变成幽灵的警察官上原蝶子，为了留在人间自己的儿子和丈夫继续解决追捕犯人的凶恶事件，但是到了100日就要和他们分别.志田未来饰演沢村前妻的女儿，生瀬勝久饰演仲间上司.还有杰尼斯JR的真田佑馬以及塚地武雅出演,1722747663,还是和abe桑演更好啊。。。,对日常生活细节关注较多，对官方和正面内容有一般认同，但也会表达个人观点。情绪宣泄，关注民生，精英视角，底层共情，自我中心该用户关注日常生活，对官方和正面内容有基本认同，但也会表达个人观点。在表达上，情绪宣泄和关注民生是其主要风格，同时展现出精英视角和底层共情。在社交活动中，该用户活跃度高，善于分享个人经历和感受，同时也关注社会热点。,,0.0,1.0,0.0,0.0,1.0,0.0,0.125,0.75,0.125,0.0,0.9375,0.0625,0.0625,0.875,0.0625,0.0,0.9375,0.0625,0.125,0.8125,0.0625,0.125,0.75,0.125,0.0,0.9375,0.0625,0.0625,0.8125,0.125,0.0,1.0,0.0,0.0,1.0,0.0
0,仲间由纪惠将主演夏季NTV土九日剧[幽灵妈妈搜查线]饰演不能成佛变成幽灵的警察官上原蝶子，为了留在人间自己的儿子和丈夫继续解决追捕犯人的凶恶事件，但是到了100日就要和他们分别.志田未来饰演沢村前妻的女儿，生瀬勝久饰演仲间上司.还有杰尼斯JR的真田佑馬以及塚地武雅出演,1677578111,转发微博。,对某些官方或正面内容持有保留态度，对历史题材有独到见解反讽嘲弄，关注民生，自我中心，情绪宣泄，逻辑缜密该用户具有批判性思维，对官方或正面内容持保留态度，善于通过反讽和幽默表达自己的观点。关注社会现实，对历史有独到见解。在表达上，既有情绪宣泄，也有逻辑分析。在社交网络中，扮演着普通参与者的角色，但观点独特，值得关注。,,0.0,1.0,0.0,0.0,1.0,0.0,0.125,0.75,0.125,0.0,0.9375,0.0625,0.0625,0.875,0.0625,0.0,0.9375,0.0625,0.125,0.8125,0.0625,0.125,0.75,0.125,0.0,0.9375,0.0625,0.0625,0.8125,0.125,0.0,1.0,0.0,0.0,1.0,0.0
0,仲间由纪惠将主演夏季NTV土九日剧[幽灵妈妈搜查线]饰演不能成佛变成幽灵的警察官上原蝶子，为了留在人间自己的儿子和丈夫继续解决追捕犯人的凶恶事件，但是到了100日就要和他们分别.志田未来饰演沢村前妻的女儿，生瀬勝久饰演仲间上司.还有杰尼斯JR的真田佑馬以及塚地武雅出演,1772405105,哇~！,对特定艺人有高度关注和认同，可能表现出一定的粉丝倾向情绪宣泄，宏大叙事，精英视角，自我中心，盲目乐观这位用户表现出对特定艺人的强烈兴趣和追随，经常在社交媒体上分享与该艺人相关的信息。他们可能在表达上较为情绪化，倾向于使用宏大叙事和精英视角来描述自己的兴趣和经历。这位用户在社交媒体上的活跃度很高，可能是该艺人的忠实粉丝，对相关话题有较高的参与度和影响力。他们的语言风格特征包括情绪宣泄和盲目乐观，可能对个人兴趣和偶像的追随有着极高的忠诚度。,,0.0,1.0,0.0,0.0,1.0,0.0,0.125,0.75,0.125,0.0,0.9375,0.0625,0.0625,0.875,0.0625,0.0,0.9375,0.0625,0.125,0.8125,0.0625,0.125,0.75,0.125,0.0,0.9375,0.0625,0.0625,0.8125,0.125,0.0,1.0,0.0,0.0,1.0,0.0
0,仲间由纪惠将主演夏季NTV土九日剧[幽灵妈妈搜查线]饰演不能成佛变成幽灵的警察官上原蝶子，为了留在人间自己的儿子和丈夫继续解决追捕犯人的凶恶事件，但是到了100日就要和他们分别.志田未来饰演沢村前妻的女儿，生瀬勝久饰演仲间上司.还有杰尼斯JR的真田佑馬以及塚地武雅出演,2495700425,仲间由纪惠 阿部宽 绝对的喜剧片搭档。。。。2B女的表现得淋漓尽致[bofu扭],转发内容多为娱乐、抽奖等，表达上较为随意，无明显政治立场情绪宣泄，盲目乐观，关注民生，自我中心该用户在社交媒体上表现为一个追求娱乐和轻松的跟风转发者。他/她对于政治和社会议题没有明显的立场，更倾向于转发娱乐、抽奖和个人兴趣相关的内容。在表达上，用户倾向于情绪化的表达，同时也会关注民生话题，但总体上以自我为中心。对于不同类型的事件，用户可能会表现出情绪化的反应，但对于严肃的政治议题则可能持观望态度。语言风格上，用户喜欢使用情绪化的词汇和表达，同时也喜欢分享个人生活的小细节。,,0.0,1.0,0.0,0.0,1.0,0.0,0.125,0.75,0.125,0.0,0.9375,0.0625,0.0625,0.875,0.0625,0.0,0.9375,0.0625,0.125,0.8125,0.0625,0.125,0.75,0.125,0.0,0.9375,0.0625,0.0625,0.8125,0.125,0.0,1.0,0.0,0.0,1.0,0.0
0,仲间由纪惠将主演夏季NTV土九日剧[幽灵妈妈搜查线]饰演不能成佛变成幽灵的警察官上原蝶子，为了留在人间自己的儿子和丈夫继续解决追捕犯人的凶恶事件，但是到了100日就要和他们分别.志田未来饰演沢村前妻的女儿，生瀬勝久饰演仲间上司.还有杰尼斯JR的真田佑馬以及塚地武雅出演,1805803982,[鼓掌],转发官方和正面内容较多，但未表现出明显的反讽或潜台词，倾向于温和建制派情绪宣泄，关注民生，精英视角，自我中心该用户表现出对生活的热爱和对娱乐的追求，转发内容以官方和正面信息为主，同时关注民生话题，体现出一定的精英视角。在表达上，情绪宣泄和自我中心的特点较为明显。对于不同类型的事件，该用户可能会表现出对个人兴趣的关注，同时也会对社会热点事件有所关注，并倾向于从个人角度出发进行评论。语言风格上，既有情绪化的表达，也有对生活细节的关注，体现出多元化的表达方式。,,0.0,1.0,0.0,0.0,1.0,0.0,0.125,0.75,0.125,0.0,0.9375,0.0625,0.0625,0.875,0.0625,0.0,0.9375,0.0625,0.125,0.8125,0.0625,0.125,0.75,0.125,0.0,0.9375,0.0625,0.0625,0.8125,0.125,0.0,1.0,0.0,0.0,1.0,0.0
0,仲间由纪惠将主演夏季NTV土九日剧[幽灵妈妈搜查线]饰演不能成佛变成幽灵的警察官上原蝶子，为了留在人间自己的儿子和丈夫继续解决追捕犯人的凶恶事件，但是到了100日就要和他们分别.志田未来饰演沢村前妻的女儿，生瀬勝久饰演仲间上司.还有杰尼斯JR的真田佑馬以及塚地武雅出演,1604593963,[花心][花心][花心]女神,对特定艺人有高度关注和认同，可能表现出一定的粉丝倾向情绪宣泄，宏大叙事，精英视角，自我中心，盲目乐观这位用户表现出对特定艺人的强烈兴趣和追随，经常在社交媒体上分享与该艺人相关的信息。他们可能在表达上较为情绪化，倾向于使用宏大叙事和精英视角来描述自己的兴趣和经历。这位用户在社交媒体上的活跃度很高，可能是该艺人的忠实粉丝，对相关话题有较高的参与度和影响力。他们的语言风格特征包括情绪宣泄和盲目乐观，可能对个人兴趣和偶像的追随有着极高的忠诚度。,,0.0,1.0,0.0,0.0,1.0,0.0,0.125,0.75,0.125,0.0,0.9375,0.0625,0.0625,0.875,0.0625,0.0,0.9375,0.0625,0.125,0.8125,0.0625,0.125,0.75,0.125,0.0,0.9375,0.0625,0.0625,0.8125,0.125,0.0,1.0,0.0,0.0,1.0,0.0
0,仲间由纪惠将主演夏季NTV土九日剧[幽灵妈妈搜查线]饰演不能成佛变成幽灵的警察官上原蝶子，为了留在人间自己的儿子和丈夫继续解决追捕犯人的凶恶事件，但是到了100日就要和他们分别.志田未来饰演沢村前妻的女儿，生瀬勝久饰演仲间上司.还有杰尼斯JR的真田佑馬以及塚地武雅出演,1277039627,转发微博,用户表现出对日常琐事的关注，转发内容多涉及娱乐和体育，但评论较少，显示出一种消极和混沌的态度。情绪宣泄，关注民生，精英视角，底层共情，自我中心这位用户似乎更关注个人生活和娱乐，对社交媒体上的内容持一种轻松的态度。他/她转发的内容多与娱乐和体育相关，显示出对日常生活的兴趣。然而，用户在评论和表达观点方面相对较少，这可能表明他/她对更广泛的社会问题缺乏兴趣或参与。他/她的语言风格偏向于情绪化和自我中心，但同时也表现出对民生和精英视角的关注。,,0.0,1.0,0.0,0.0,1.0,0.0,0.125,0.75,0.125,0.0,0.9375,0.0625,0.0625,0.875,0.0625,0.0,0.9375,0.0625,0.125,0.8125,0.0625,0.125,0.75,0.125,0.0,0.9375,0.0625,0.0625,0.8125,0.125,0.0,1.0,0.0,0.0,1.0,0.0
